neighborhood,area,population_density,population,x values,y values,res_reviews,res_ratings,hotel_reviews,hotel_ratings,landmarks_reviews,landmarks_ratings,shopping_reviews,shopping_ratings,k-means results,SOM k=3,DEC
abdin,1.72,24147.0,41605,"30.052828,30.052774,30.052705,30.052621,30.052621,30.051931,30.051709,30.051603,30.050538,30.050223,30.048877,30.048058,30.048081,30.048257,30.048269,30.048444,30.048327,30.048058,30.047859,30.047871,30.047801,30.047543,30.047192,30.046525,30.044957,30.043775,30.043775,30.041388,30.040382,30.039188,30.039680,30.039048,30.038801,30.038803,30.038903,30.038759,30.039356,30.039585,30.039427,30.039650,30.040114,30.040523,30.042130,30.043625,30.044730,30.047600,30.047749,30.048074,30.049114,30.050340,30.052466","31.241129,31.243343,31.245100,31.245929,31.246200,31.246186,31.246403,31.246727,31.246727,31.246173,31.245970,31.245943,31.246538,31.246551,31.246267,31.246254,31.247051,31.247606,31.247835,31.248025,31.248079,31.247971,31.248714,31.250404,31.250971,31.251364,31.251364,31.250329,31.249221,31.248815,31.246058,31.245544,31.244903,31.243785,31.243022,31.242511,31.239816,31.239519,31.239186,31.238178,31.236086,31.234616,31.235034,31.235378,31.235700,31.237620,31.237931,31.237910,31.238650,31.239487,31.240882",2936,2.9347826089999995,5165,3.172566372,6,2.25,78,1.8125,3,2,0
darb el ahmar,1.87,32300.0,60336,"30.048156,30.047970,30.047227,30.046484,30.046614,30.046373,30.046299,30.046317,30.046559,30.045630,30.044924,30.044292,30.044107,30.038553,30.037865,30.036417,30.035506,30.034763,30.034299,30.034447,30.034615,30.035172,30.035785,30.035042,30.034689,30.035636,30.036045,30.037178,30.037977,30.039946,30.040410,30.041320,30.043698,30.044227,30.044543,30.046364,30.047617","31.253413,31.255816,31.257833,31.259346,31.261299,31.262393,31.262522,31.262801,31.262929,31.265869,31.267650,31.268358,31.269109,31.264131,31.264431,31.265547,31.265783,31.262801,31.262393,31.261749,31.258745,31.258316,31.257737,31.257436,31.257071,31.256213,31.255591,31.251986,31.251085,31.249540,31.249347,31.250355,31.251407,31.251283,31.251852,31.252742,31.253214",469,2.976190476,0,0.0,429,4.333333333,11,2.25,3,2,0
ain shams,8.32,76187.0,633798,"30.107164,30.117633,30.123201,30.126839,30.128992,30.132481,30.136192,30.138271,30.136638,30.133223,30.131961,30.128843,30.123498,30.117559,30.113308,30.110412","31.323513,31.336817,31.343683,31.349949,31.360678,31.359390,31.351666,31.345915,31.335100,31.323341,31.319651,31.317162,31.314243,31.312870,31.313183,31.320221",84,0.914383562,40,4.0,0,0.0,3888,1.333333333,1,0,5
al amirya,3.8,41372.0,157378,"30.113805,30.114028,30.114251,30.114325,30.115597,30.115304,30.115147,30.114172,30.113680,30.112836,30.100060,30.097349,30.092411,30.095976,30.097349,30.099257,30.100686,30.101466,30.108158,30.109754,30.112474","31.284517,31.292671,31.300053,31.301726,31.04441,31.305133,31.305433,31.305058,31.304865,31.304232,31.298894,31.297521,31.292457,31.285891,31.287693,31.2884455,31.282544,31.278596,31.281911,31.282619,31.282995",10,0.625,99,2.125,0,0.0,13,2.0,4,2,4
al azbakya,1.33,15322.0,20393,"30.067012,30.065062,30.064077,30.062703,30.062123,30.060006,30.060034,30.059402,30.058928,30.058334,30.056621,30.056222,30.056231,30.056157,30.055785,30.054248,30.053450,30.053431,30.053840,30.053951,30.053282,30.052670,30.052804,30.052855,30.053394,30.054044,30.055270,30.055418,30.056226,30.058390,30.060164,30.061761,30.062615,30.063339,30.063650,30.063409,30.064440,30.065851","31.251223,31.252167,31.251824,31.252532,31.252827,31.250682,31.250445,31.250274,31.248455,31.248133,31.249308,31.249416,31.249609,31.249845,31.249759,31.249796,31.250333,31.249603,31.249539,31.246900,31.246127,31.245982,31.243198,31.2411111,31.238966,31.237099,31.238258,31.238118,31.238869,31.239888,31.237646,31.237560,31.238054,31.239051,31.240527,31.242436,31.246395,31.249657",66,2.590909091,1564,2.7285714289999996,0,0.0,0,0.0,3,2,0
al jamalya,2.08,18063.0,37517,"30.06252,30.059920,30.056614,30.053345,30.052927,30.052648,30.045275,30.044244,30.044866,30.046575,30.046338,30.046463,30.047578,30.048117,30.048999,30.052667,30.055373,30.055766,30.054517,30.056414,30.062173,30.061965","31.267935,31.269265,31.270595,31.269351,31.274361,31.276271,31.269919,31.269136,31.267688,31.262924,31.262409,31.259920,31.257152,31.254405,31.254373,31.256318,31.257494,31.258055,31.261716,31.263053,31.266848,31.267222",803,2.4565217390000003,223,2.7,505,3.8181818180000002,41,3.166666667,3,2,0
al khalifah,9.89,10980.0,108560,"30.03759,30.035956,30.034767,30.035881,30.034692,30.034321,30.035287,30.030383,30.029639,30.016560,30.013810,30.012027,30.009574,30.008533,30.007195,30.005114,30.002141,30.000506,29.999094,29.998722,29.997012,29.995451,29.994485,29.998573,29.993444,29.994113,29.992998,29.992942,29.998889,30.001454,30.002569,30.002420,30.007809,30.006619,30.0099035,30.011451,30.012974,30.014869,30.015167,30.017582,30.018734,30.018539,30.019524,30.020025,30.020211,30.022719,30.023314,30.025004,30.025376,30.025766,30.025859,30.026082,30.026439,30.028348,30.028488,30.030345,30.030866,30.033615,30.034544,30.035668,30.036778,30.037070,30.037353","31.251638,31.255501,31.257131,31.257732,31.258676,31.262195,31.265629,31.266058,31.268289,31.274555,31.272409,31.272954,31.275413,31.275242,31.276872,31.276529,31.276529,31.278160,31.280735,31.282366,31.281593,31.280649,31.279705,31.270349,31.270349,31.265886,31.265543,31.258827,31.256423,31.256209,31.256080,31.255608,31.253634,31.248055,31.248226,31.247368,31.247754,31.247411,31.248784,31.250201,31.251231,31.250512,31.248087,31.248430,31.248194,31.250168,31.250683,31.251027,31.250104,31.250083,31.250812,31.250276,31.250217,31.249911,31.250544,31.249471,31.250587,31.251831,31.251102,31.251070,31.249948,31.249503,31.250732",194,1.404761905,45,3.0,4134,3.6363636360000005,1,5.0,1,2,4
maadi,7.66,11928.0,91384,"29.967505,29.972189,29.974048,29.974494,29.970256,29.970405,29.965051,29.970256,29.969587,29.968694,29.967356,29.961779,29.962523,29.967133,29.969958,29.969735,29.968992,29.968025,29.968769,29.971148,29.968471,29.961556,29.960366,29.959994,29.959474,29.957838,29.955905,29.957169,29.958656,29.959846,29.959102,29.949732,29.948468,29.946460,29.959474,29.963564,29.966166","31.238546,31.246099,31.245842,31.246786,31.249704,31.258287,31.260176,31.266784,31.268673,31.277513,31.277170,31.288757,31.298713,31.310816,31.320600,31.329527,31.340599,31.348667,31.355533,31.366691,31.372700,31.372871,31.349096,31.326265,31.319742,31.317253,31.315107,31.310043,31.298113,31.288328,31.281290,31.267471,31.265755,31.264639,31.243353,31.243095,31.239919",2274,3.608527132,775,2.078947368,24,3.5,20,1.0,1,2,0
al sharbya,3.62,53304.0,193121,"30.097522,30.097522,30.098524,30.098784,30.092695,30.086717,30.083560,30.082038,30.081852,30.069439,30.069198,30.064908,30.066579,30.067173,30.071528,30.076505,30.079327,30.088611,30.092769,30.096037","31.255642,31.257787,31.257916,31.258302,31.262766,31.266757,31.268945,31.269289,31.270190,31.264429,31.263313,31.252348,31.251554,31.251060,31.252895,31.254054,31.255041,31.255341,31.255470,31.255513",35,1.357142857,11,1.6,28,2.25,0,0.0,4,1,4
salam 1 ,21.6,22926.0,495886,"30.141943,30.141498,30.141646,30.142834,30.144467,30.142537,30.146248,30.150256,30.154709,30.156490,30.157826,30.159013,30.163652,30.175710,30.180496,30.184205,30.189028,30.189324,30.196150,30.196224,30.193182,30.190511,30.184279,30.179531,30.177157,30.168846,30.165581,30.162464,30.158754,30.155043,30.150367,30.145098,30.141683,30.139828,30.136487,30.132479,30.131143,30.129213,30.128916,30.132776,30.134261,30.138343,30.138937,30.137230,30.135597,30.133667,30.132108,30.130178,30.13552,30.138195,30.140941","31.326602,31.338446,31.347716,31.354239,31.359046,31.361792,31.367114,31.375868,31.379988,31.379817,31.384280,31.389086,31.392133,31.399987,31.403034,31.405180,31.407755,31.416166,31.414192,31.420114,31.421573,31.423719,31.426551,31.428354,31.428096,31.422947,31.421573,31.423204,31.426036,31.428011,31.427496,31.407926,31.395824,31.390159,31.385868,31.374967,31.370590,31.365869,31.361406,31.359689,31.356514,31.346901,31.343553,31.335828,31.329563,31.323297,31.319692,31.317804,31.320551,31.322353,31.325271",130,1.262195122,50,1.8333333330000001,1,1.0,11,5.0,1,0,1
