location_id,name,latitude,longitude,num_reviews,rating,neighborhoods
1597516,Kempinski Nile Hotel Cairo,30.03882,31.2305,2531,4.5,qasr el nile
301746,Le Passage Cairo,30.121655,31.400833,2587,4.5,an-nuzhah
580690,Fairmont Nile City,30.071869,31.227592,3952,4.5,rud el farag
1200790,Novotel Cairo El Borg,30.043905,31.22698,1193,4,Zamalek
10356829,Steigenberger Hotel El Tahrir,30.04658,31.235418,852,4.5,qasr el nile
614748,Osiris Hotel,30.042412,31.241535,491,4.5,abdin
308091,Grand Nile Tower,30.03444,31.226797,809,3.5,Misr al qadima
1194224,City View Hotel,30.04604,31.23528,403,4,qasr el nile
299611,Novotel Cairo Airport,30.121103,31.40188,1891,3.5,an-nuzhah
8489537,Royal Maxim Palace Kempinski Cairo,30.060131,31.419552,1211,4.5,al-qahirah al jadidah 2
300669,Ramses Hilton,30.050388,31.231968,3780,4,bulaq
308077,Four Seasons Hotel Cairo at Nile Plaza,30.036192,31.22931,1595,4.5,qasr el nile
299719,Cairo Marriott Hotel & Omar Khayyam Casino,30.057112,31.224815,3105,4.5,Zamalek
302720,Conrad Cairo,30.065533,31.227953,2294,4.5,al-qahirah al jadidah 2
302323,"Sonesta Hotel, Tower & Casino Cairo",30.078995,31.317835,1044,4,Madinat Nasr 1 
299113,InterContinental Cairo Semiramis,30.043428,31.23198,2429,4.5,qasr el nile
481920,Baron Hotel Heliopolis Cairo,30.086117,31.331484,676,4,Heliopolis
301551,Golden Tulip Flamenco,30.065762,31.21621,426,3.5,Zamalek
4267134,Renaissance Cairo Mirage City Hotel,30.074835,31.439438,639,4.5,al-qahirah al jadidah 2
8704648,"The Nile Ritz-Carlton, Cairo",30.045961,31.232328,954,4.5,qasr el nile
301243,Concorde El Salam Hotel Cairo by Royal Tulip,30.123835,31.348095,680,4,an-nuzhah
1673020,Egyptian Night Hotel,30.04749,31.234901,137,4,qasr el nile
2708329,Hotel Grand Royal,30.047344,31.238403,327,4,abdin
1229187,"Radisson Blu Hotel, Cairo Heliopolis",30.106634,31.37527,1224,3.5,an-nuzhah
16871190,Steigenberger Pyramids Cairo,29.99369,31.125313,253,4.5,al ahram
304481,Sofitel Cairo Nile El Gezirah,30.038597,31.224379,2987,4.5,waraq
301697,Hilton Cairo Zamalek Residences,30.067686,31.222391,739,4,Zamalek
15190206,Triumph Luxury Hotel,30.003809,31.402044,43,4.5,al-qahirah al jadidah
12901747,Tolip Golden Plaza Hotel,30.0787,31.347881,63,4,Madinat Nasr 1 
497919,Lotus Hotel,30.046738,31.237837,112,3.5,abdin
606812,Invitation Hotel,30.09219,31.32135,78,3.5,Heliopolis
13372858,Azar Hotel,30.051558,31.24515,19,3.5,abdin
302715,President Hotel,30.06753,31.219505,171,3,Zamalek
1202108,Safari Hotel,30.05317,31.24155,23,3.5,al azbakya
2389917,Al Masa Hotel,30.061405,31.316961,438,4.5,Madinat Nasr 2
469492,Hotel Longchamps,30.06392,31.219288,640,4.5,Zamalek
536381,InterContinental Cairo Citystars,30.072393,31.346355,1973,4.5,Madinat Nasr 1 
5040629,Le Meridien Cairo Airport,30.113745,31.395475,1253,4.5,Madinat Nasr 1 
629999,Dahab Hostel,30.048067,31.23745,501,4.5,qasr el nile
299728,JW Marriott Hotel Cairo,30.071997,31.434294,1317,4,al-qahirah al jadidah 2
309020,Pension Roma,30.051617,31.244379,182,4,abdin
2413606,Cairo Paradise Hotel,30.051945,31.2425,159,4.5,abdin
1841930,Cairo Moon Hotel,30.05104,31.24217,97,4.5,abdin
16724036,Cheers Hostel Cairo,30.051119,31.24068,20,5,abdin
2238473,Golden Hotel,30.046389,31.237852,99,4,abdin
13121471,Valencia Hostel,30.049446,31.240555,87,4,abdin
1635921,Swiss Inn Hotel,30.051832,31.19828,111,4,al agouza
15801836,The Square Boutique Hotel,30.047333,31.2387,20,4,abdin
17464211,Pyramids Youth House,30.054863,31.243174,2,5,al azbakya
5498745,Golden Park Hotel,30.11536,31.35248,60,3,an-nuzhah
17662327,Nile Sky Suites Hotel,30.03476,31.22803,3,3.5,Misr al qadima
1126089,Ismailia House Hotel,30.04436,31.23651,21,3,abdin
2412303,Freedom Hostel,30.04829,31.242697,356,4.5,abdin
1150283,Staybridge Suites Cairo-Citystars,30.072773,31.344442,206,4.5,Madinat Nasr 1 
299627,Holiday Inn Cairo Maadi,29.96066,31.24795,527,4,maadi
1065915,The Australian Hostel,30.05057,31.24181,188,4.5,abdin
1157029,Hilton Cairo Heliopolis,30.106194,31.364872,1378,4,an-nuzhah
817571,Holiday Inn Cairo - Citystars,30.07433,31.343868,816,4,Madinat Nasr 1 
302711,Windsor Hotel Cairo,30.053402,31.245516,688,4,al azbakya
13923569,Hostgram Hostel,30.049126,31.23939,109,4.5,abdin
645738,Minerva Downtown Hostel,30.052122,31.241665,72,4.5,abdin
2138198,Miami Cairo Hostel,30.05117,31.24059,101,4.5,abdin
5274385,One Season Hostel,30.049438,31.24009,121,4.5,abdin
1722944,Villa Belle Epoque,29.959452,31.26314,92,4,maadi
15363449,Desert Moon,29.960316,31.10808,23,4.5,al ahram
12145996,Museum House Hostel,30.046997,31.23516,49,4.5,qasr el nile
2619597,My Hotel Cairo,30.047697,31.235025,88,4,qasr el nile
2342533,Pyramids Inn Motel,29.972254,31.14527,62,4,al ahram
12636131,Nile View - Zamalek,30.038557,31.222456,70,4,waraq
631875,Arabesque Hotel,30.09219,31.32135,68,4,Heliopolis
1799808,Travelers House,30.052572,31.242575,72,4.5,abdin
15220635,Tahrir Plaza Suites,30.048582,31.234776,37,4,qasr el nile
940276,Horus House Hotel,30.06396,31.2192,58,4,Zamalek
12062145,Paradise Boutique Hotel,30.051905,31.24297,68,4,abdin
12233101,Galaxy Royal Suites Hotel,30.017715,31.223469,30,4,Misr al qadima
1236990,Pension Sakura,30.03893,31.23572,12,4.5,qasr el nile
4458263,Family Palace Hotel,30.05168,31.24455,48,4.5,abdin
17510110,Golden Star Hotel,30.046686,31.242395,4,5,abdin
15726552,Prime Residence New Cairo,30.01751,31.494179,2,5,al-qahirah al jadidah
2217185,Nitocrisse,30.05199,31.24456,2,5,abdin
4714351,New President Hotel Zamalek,30.13172,31.31173,19,3.5,Zamalek
13497661,Midtown Hostel,30.047482,31.243193,25,3.5,abdin
1199028,Pharaohs Palace Hostel,30.048897,31.24196,14,3.5,abdin
17793120,New Panorama Hotel,30.05193,31.2411,1,5,abdin
14905838,Rehana Plaza Hotel,30.048635,31.380613,5,3.5,Madinat Nasr 2
12218173,Oriental Hostel,30.038036,31.233076,13,3,qasr el nile
1156037,Pharaoh Egypt Hotel,30.10442,31.28665,93,3,al amirya
15073383,Hotel Velvet 1928,30.047178,31.242884,26,3,abdin
12331289,City Hotel,30.04475,31.23708,21,3,abdin
7796212,Horizon Shahrazad Hotel,30.05697,31.215393,65,3,al agouza
12692010,Town View Hotel,30.01957,31.259117,45,3,al khalifah
1931589,Venus Hotel,30.055805,31.24114,16,3.5,al azbakya
2259760,Nile Zamalek Hotel,30.062677,31.223469,10,2.5,Zamalek
10061266,Tolip Inn Maadi,29.97111,31.27209,13,2.5,maadi
1183738,New Garden Palace Hotel,30.0353,31.233286,99,2,qasr el nile
17784648,Agata Hostel,30.10431,31.28773,0,0,al amirya
17471314,Lamar Hotel,30.09805,31.31435,0,0,Heliopolis
17467692,Atlas International Hotels,29.8391,31.30303,0,0,helwan
1146358,Dusit Thani LakeView Cairo,30.025833,31.45514,2983,4.5,al-qahirah al jadidah
754516,Heliopolis Towers Hotel,30.107306,31.366083,1082,4.5,an-nuzhah
543043,Hilton Cairo World Trade Center Residences,30.064081,31.228031,434,4,bulaq
1411339,Le Riad Hotel de Charme,30.052237,31.261866,103,4.5,al jamalya
10745996,"The Westin Cairo Golf Resort & Spa, Katameya Dunes",30.003187,31.52231,266,4,al-qahirah al jadidah 3
15287422,Castle Hostel,30.059843,31.244305,311,4.5,al azbakya
630004,Paris Hotel,30.046505,31.238108,193,4.5,abdin
1774645,Bella Luna,30.049696,31.240086,142,4.5,abdin
302584,Le Meridien Heliopolis,30.091454,31.336061,596,3.5,Heliopolis
2000039,Dina's Hostel,30.05056,31.2445,134,4.5,abdin
1202343,Wake UP Cairo Hostel,30.050379,31.235916,210,4.5,qasr el nile
14353733,Tahrir Hostel,30.045107,31.235914,54,5,qasr el nile
605882,Havana Hotel Cairo,30.05,31.25,184,4,al-muski
620930,New Palace Hostel,30.05487,31.24343,151,4,al azbakya
16744404,House of Life Cairo,29.976412,31.141066,20,5,al ahram
13133447,Pyramids Loft Guesthouse,29.976002,31.143497,20,5,al ahram
3412402,The Gabriel Hotel,30.103252,31.38619,92,4,Madinat Nasr 1 
15185993,Voyage Hotel,30.05331,31.24467,37,5,al azbakya
608588,Meramees Hostel,30.0467,31.24027,92,4,abdin
19650680,Bella Casa Hostel,30.046532,31.2387,14,5,abdin
12239092,Grand Agor,30.047722,31.242376,38,4.5,abdin
602877,Talisman Hotel de Charme,30.052128,31.241692,207,4,abdin
1526080,Cecilia Hotel,30.043058,31.239483,105,4,abdin
15696833,Holy Sheet Hostel,30.04735,31.240072,25,4.5,abdin
7354878,Cairo International Hostel,30.051046,31.240646,57,4.5,abdin
1626178,Blue Bird Hotel Cairo,30.052114,31.24115,41,4.5,abdin
1201661,Arabian Nights,30.0485,31.267378,119,4,al jamalya
1196177,Nubian Hostel,30.04712,31.24143,67,4.5,abdin
1456029,Berlin Hotel,30.048538,31.24098,72,4,abdin
7792572,Travel Joy Hostel,30.05161,31.244448,26,4.5,abdin
4162090,Cairo kingdom Hotel,30.05522,31.24414,24,4.5,al azbakya
3819974,Isis Hotel 2,30.049156,31.236555,30,4.5,qasr el nile
