location_id,name,latitude,longitude,num_reviews,rating,neighborhoods,address_obj,address
552698,Memphis and Sakkara,29.869133,31.217186,871,4.5,el giza,"{'street1': '', 'street2': '', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11655'}",Cairo 11655 Egypt
459916,Coptic Cairo,30.006334,31.230333,1999,4.5,Misr al qadima,"{'street1': '', 'street2': '', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': ''}",Cairo Egypt
553171,Mosque of Muhammad Ali,30.0291,31.25982,2558,4.5,al khalifah,"{'street1': 'Al Abageyah', 'street2': 'Qism El-Khalifa', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Al Abageyah Qism El-Khalifa, Cairo 11511 Egypt"
553174,Gizeh Plateau,29.97611,31.132778,3971,4.5,al ahram,"{'street1': 'Al Haram Str.', 'street2': '', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Al Haram Str., Cairo 11511 Egypt"
308820,Cairo Citadel,30.0113,31.30607,1181,4.5,al-muqattam,"{'street1': 'Al Abageyah', 'street2': ""Shar'a Salih Salem"", 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Al Abageyah Shar'a Salih Salem, Cairo 11511 Egypt"
3154884,Cave Church,30.031038,31.276678,322,4.5,al-muqattam,"{'street1': 'Mokattam', 'street2': '', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Mokattam, Cairo 11511 Egypt"
480254,Dahshur,29.79321,31.24628,891,4.5,el badrshin,"{'street1': '', 'street2': '', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': ''}",Cairo Egypt
459804,Al-Azhar Mosque,30.04569,31.262688,354,4.5,darb el ahmar,"{'street1': 'Mohammed Abdou', 'street2': 'El-Darb El-Ahmar', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Mohammed Abdou El-Darb El-Ahmar, Cairo 11511 Egypt"
469435,Islamic Cairo,30.031406,31.252588,773,4.5,al khalifah,"{'street1': 'Midan Silah ad-Din', 'street2': '', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Midan Silah ad-Din, Cairo 11511 Egypt"
1015353,Sharia Al Mu'izz Li-Din Allah,30.049896,31.2613,258,4.5,al jamalya,"{'street1': 'Al Moez Ldin Allah Al Fatmi', 'street2': '', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Al Moez Ldin Allah Al Fatmi, Cairo 11511 Egypt"
