location_id,name,latitude,longitude,num_reviews,rating,neighborhoods,address_obj,address
19108676,Peppermint,30.018853999999997,31.466276,3,5,al-qahirah al jadidah,"{'street1': 'El Teseen Street', 'street2': 'Dyar Mall, Infront of Gate 1 Tolipe El Narges Hotel', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","El Teseen Street Dyar Mall, Infront of Gate 1 Tolipe El Narges Hotel, Cairo 11511 Egypt"
2602748,The Blue Restaurant & Grill,30.038889,31.230465000000002,727,5,qasr el nile,"{'street1': '12 Ahmed Ragheb Street', 'street2': 'Garden City', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11519'}","12 Ahmed Ragheb Street Garden City, Cairo 11519 Egypt"
11768815,Vivo Restaurant,30.045896999999997,31.232033,428,5,qasr el nile,"{'street1': '1113 Corniche El Nil Street', 'street2': 'Second floor', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11221'}","1113 Corniche El Nil Street Second floor, Cairo 11221 Egypt"
8734329,Culina,30.04662,31.231953000000004,302,5,qasr el nile,"{'street1': '1113 Corniche El Nil Street', 'street2': 'The Nile Ritz-Carlton, Downtown', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11221'}","1113 Corniche El Nil Street The Nile Ritz-Carlton, Downtown, Cairo 11221 Egypt"
3333673,Noble House,30.1061,31.365522,270,5,an-nuzhah,"{'street1': 'Hilton Cairo Heliopolis', 'street2': 'Uruba Street, Heliopolis', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Hilton Cairo Heliopolis Uruba Street, Heliopolis, Cairo 11511 Egypt"
14774406,Scores Sports Bar & Restaurant,29.960701,31.247954999999997,96,5,maadi,"{'street1': '29 Corniche El Nil', 'street2': 'Holiday Inn Cairo, Maadi', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","29 Corniche El Nil Holiday Inn Cairo, Maadi, Cairo 11511 Egypt"
3333665,Raj,30.106841999999997,31.365349,241,5,an-nuzhah,"{'street1': 'Hilton Cairo Heliopolis', 'street2': 'Al Orouba Street ,', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Hilton Cairo Heliopolis Al Orouba Street ,, Cairo 11511 Egypt"
2619464,Fayruz Lebanese Restaurant,30.072423999999998,31.346268,1199,5,Madinat Nasr 1 ,"{'street1': 'InterContinental Cairo Citystars', 'street2': 'Omar Ibn El Khattab St., Heliopolis', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","InterContinental Cairo Citystars Omar Ibn El Khattab St., Heliopolis, Cairo 11511 Egypt"
2715802,Al Khal Egyptian Restaurant,30.072495,31.3464,548,5,Madinat Nasr 1 ,"{'street1': 'InterContinental Cairo Citystars', 'street2': 'Omar Bin Khattab Street', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","InterContinental Cairo Citystars Omar Bin Khattab Street, Cairo 11511 Egypt"
2326095,Osmanly Restaurant,30.038636999999998,31.230491999999998,443,4.5,qasr el nile,"{'street1': '12 Ahmed Ragheb Street', 'street2': 'Garden City', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11519'}","12 Ahmed Ragheb Street Garden City, Cairo 11519 Egypt"
7681557,Sachi,30.087976,31.324840000000002,705,5,Heliopolis,"{'street1': '3 Cleopatra Street', 'street2': 'Heliopolis', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","3 Cleopatra Street Heliopolis, Cairo 11511 Egypt"
10210903,Bab Al Qasr,30.059953999999998,31.418976,430,5,al-qahirah al jadidah 2,"{'street1': 'Royal Maxim Palace Kempinski Hotel, First Settlement, New Cairo', 'street2': 'First Settlement, New Cairo', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11477'}","Royal Maxim Palace Kempinski Hotel, First Settlement, New Cairo First Settlement, New Cairo, Cairo 11477 Egypt"
2165744,Shogun Japanese Restaurant,30.072426,31.346355,719,5,Madinat Nasr 1 ,"{'street1': 'Omar Ibn EL Khattab St. Heliopolis', 'street2': 'InterContinental Cairo Citystars ', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Omar Ibn EL Khattab St. Heliopolis InterContinental Cairo Citystars, Cairo 11511 Egypt"
3329954,Pizza Bar,30.107491999999997,31.36618,185,5,an-nuzhah,"{'street1': 'El Saheed Sayed Zakaria Street', 'street2': 'Heliopolis Towers', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","El Saheed Sayed Zakaria Street Heliopolis Towers, Cairo 11511 Egypt"
9729486,Kazoku,30.061186,31.43716,399,5,al-qahirah al jadidah 2,"{'street1': 'Swan Lake Compound club house', 'street2': 'Swan Lake Compound, 1st Settlement, New Cairo', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Swan Lake Compound club house Swan Lake Compound, 1st Settlement, New Cairo, Cairo 11511 Egypt"
2451793,AL Dabke,30.106422,31.364853000000004,220,4.5,an-nuzhah,"{'street1': 'Hilton Cairo Heliopolis', 'street2': 'Uruba Street, Heliopolis', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Hilton Cairo Heliopolis Uruba Street, Heliopolis, Cairo 11511 Egypt"
15656334,Nisantasi,30.0736,31.346338,134,5,Madinat Nasr 1 ,"{'street1': 'City Stars Mall', 'street2': 'Phase 1, Level 5', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","City Stars Mall Phase 1, Level 5, Cairo 11511 Egypt"
2629578,Esplanade Cafe Restaurant,30.072405,31.346289000000002,341,5,Madinat Nasr 1 ,"{'street1': 'InterContinental Cairo Citystars', 'street2': 'Omar Ibn El Khattab St.', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","InterContinental Cairo Citystars Omar Ibn El Khattab St., Cairo 11511 Egypt"
2608254,Maestro Italian Restaurant,30.072426,31.346476000000003,539,5,Madinat Nasr 1 ,"{'street1': 'InterContinental Cairo Citystars', 'street2': 'Omar Ibn El Khattab St. Heliopolis', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","InterContinental Cairo Citystars Omar Ibn El Khattab St. Heliopolis, Cairo 11511 Egypt"
15656944,LEXIE'S,30.024082,31.454159000000004,189,5,al-qahirah al jadidah,"{'street1': 'El-Tessen Street', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","El-Tessen Street, Cairo 11511 Egypt"
8754718,Bab El-Sharq,30.046337,31.233053,341,4.5,qasr el nile,"{'street1': '1113 Corniche El Nil', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11221'}","1113 Corniche El Nil, Cairo 11221 Egypt"
14797583,The View Restaurant,29.960693,31.247877000000003,130,5,maadi,"{'street1': '29A Cornish El Nil Maadi', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","29A Cornish El Nil Maadi, Cairo 11511 Egypt"
14138065,L'Uliveto Italian Restaurant,30.071943,31.227486,197,5,rud el farag,"{'street1': 'Nile City Towers- 2005 B Corniche El Nil', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11311'}","Nile City Towers- 2005 B Corniche El Nil, Cairo 11311 Egypt"
2700922,Sushiramis,30.043090000000003,31.231901,175,5,qasr el nile,"{'street1': 'InterContinental Cairo Semiramis Hotel', 'street2': 'Corniche El Nil', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","InterContinental Cairo Semiramis Hotel Corniche El Nil, Cairo 11511 Egypt"
3175542,Indira Indian Restaurant,30.073973,31.344016999999997,1385,5,Madinat Nasr 1 ,"{'street1': 'Holiday Inn Cairo Citystars', 'street2': 'Ali Rashed Street', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Holiday Inn Cairo Citystars Ali Rashed Street, Cairo 11511 Egypt"
3333671,MARIA'S,30.107712,31.366545000000002,136,5,an-nuzhah,"{'street1': 'Hilton Cairo Heliopolis', 'street2': 'El Orouba Street, Heliopolis', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Hilton Cairo Heliopolis El Orouba Street, Heliopolis, Cairo 11511 Egypt"
3329940,Leonardo Ristorante,30.106632,31.365007000000002,127,4.5,an-nuzhah,"{'street1': 'Hilton Cairo Heliopolis', 'street2': 'Al Orouba Street, Heliopolis', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Hilton Cairo Heliopolis Al Orouba Street, Heliopolis, Cairo 11511 Egypt"
2700915,The Grill Restaurant & Lounge,30.04322,31.232008,357,5,qasr el nile,"{'street1': 'InterContinental Cairo Semiramis', 'street2': 'Corniche El Nile Downtown', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","InterContinental Cairo Semiramis Corniche El Nile Downtown, Cairo 11511 Egypt"
2002786,Saigon Restaurant & Lounge,30.071648,31.227320000000002,267,4.5,rud el farag,"{'street1': '2005 B, Corniche El Nil', 'street2': 'Fairmont Towers Nile City - 2005 B, Corniche El Nil, Ramlet Beaulac', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '2466'}","2005 B, Corniche El Nil Fairmont Towers Nile City - 2005 B, Corniche El Nil, Ramlet Beaulac, Cairo 2466 Egypt"
9597390,O's Pasta,30.059488,31.224052,193,4.5,Zamalek,"{'street1': '159 26th of July Street', 'street2': 'Zamalek', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","159 26th of July Street Zamalek, Cairo 11511 Egypt"
16673698,My Kind of Place,30.106142,31.36471,90,5,an-nuzhah,"{'street1': 'Uruba Street', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': None}","Uruba Street, Cairo Egypt"
9712525,Kamala at Conrad Cairo,30.065456,31.227696999999996,136,4.5,al-qahirah al jadidah 2,"{'street1': '1191 Corniche El Nil', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","1191 Corniche El Nil, Cairo 11511 Egypt"
2515857,Windows Restaurant,30.074064,31.343586,216,4.5,Madinat Nasr 1 ,"{'street1': 'Holiday Inn Cairo Citystars', 'street2': 'Aly Rashed St. Off Omar Ibn El Khattab St., Heliopolis', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Holiday Inn Cairo Citystars Aly Rashed St. Off Omar Ibn El Khattab St., Heliopolis, Cairo 11511 Egypt"
1025515,Birdcage,30.053083,31.230413000000002,921,4.5,bulaq,"{'street1': 'Corniche El Nil', 'street2': 'Semiramis InterContinental Cairo', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Corniche El Nil Semiramis InterContinental Cairo, Cairo 11511 Egypt"
