location_id,name,latitude,longitude,num_reviews,rating,neighborhoods,address_obj,address
308884,Khan Al-Khalili,30.11914,31.31925,3888,4,ain shams,"{'street1': None, 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': None}",Cairo Egypt
6206087,Cairo Festival City Mall,30.02855,31.40939,404,4.5,al-qahirah al jadidah,"{'street1': None, 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '171-11835'}",Cairo 171-11835 Egypt
4887739,City Stars Mall,30.072998,31.346048,438,4.5,Madinat Nasr 1 ,"{'street1': 'Omar Ibn El Khattab St. Masaken Al Mohandesin', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Omar Ibn El Khattab St. Masaken Al Mohandesin, Cairo 11511 Egypt"
2558683,Mall of Arabia Cairo,30.006086,30.97342,223,4.5,6th of october,"{'street1': 'Mehwer 26th July,6th of October City', 'street2': 'Juhaynah Square', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Mehwer 26th July,6th of October City Juhaynah Square, Cairo 11511 Egypt"
10947660,Katameya downtown mall,30.017962,31.413061,22,4,al-qahirah al jadidah,"{'street1': '90 5th District Road', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","90 5th District Road, Cairo 11511 Egypt"
1005681,Street of the Tentmakers (Sharia Khayamiya),30.05148,31.2693,27,5,al jamalya,"{'street1': 'Islamic Cairo', 'street2': '', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Islamic Cairo, Cairo 11511 Egypt"
480160,Birqash Camel Market (Souq al-Gamaal),30.148409,30.997078,29,4.5,imbaba,"{'street1': 'Barqash, Imbaba, Cairo, Egypt', 'street2': '', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Barqash, Imbaba, Cairo, Egypt, Cairo 11511 Egypt"
1986211,Suuq el Ataba,30.112833,31.291239,13,4,al amirya,"{'street1': '', 'street2': '', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': ''}",Cairo Egypt
10284590,Genena Mall,30.07494,31.24598,27,3.5,shobra,"{'street1': '9 El-Batrawy st', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","9 El-Batrawy st, Cairo 11511 Egypt"
13646459,SunCity Mall,30.10257,31.386337,8,4,Madinat Nasr 1 ,"{'street1': 'El-Nasr Road', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","El-Nasr Road, Cairo 11511 Egypt"
12791883,The District,30.091389,31.383947,8,5,Madinat Nasr 1 ,"{'street1': None, 'street2': 'Wadi Degla', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11361'}","Wadi Degla, Cairo 11361 Egypt"
3810365,Oum El Dounia Gallery,0,0,32,4.5,abdin,"{'street1': 'Rd 23 off El Nadi st, behind Dina Farms Supermarket', 'street2': 'Downtown', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Rd 23 off El Nadi st, behind Dina Farms Supermarket Downtown, Cairo 11511 Egypt"
469361,Souk al Fustat,30.008413,31.231256,10,4,Misr al qadima,"{'street1': 'Corner el Emam Street and Hassan al Anwar Street', 'street2': 'Old Cairo', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Corner el Emam Street and Hassan al Anwar Street Old Cairo, Cairo 11511 Egypt"
1986208,Tent Market,30.042114,31.257498,11,4.5,darb el ahmar,"{'street1': 'Qasaba of Radwan Bay', 'street2': '', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Qasaba of Radwan Bay, Cairo 11511 Egypt"
10110040,Sunny Land,0,0,8,4.5,al jamalya,"{'street1': '68 Gohar El Kaed street. Khan El Khalili', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","68 Gohar El Kaed street. Khan El Khalili, Cairo 11511 Egypt"
10177803,Tiba Outlet Mall,30.067694,31.330034,12,3,Madinat Nasr 1 ,"{'street1': '75 Al Nasr Road', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","75 Al Nasr Road, Cairo 11511 Egypt"
10202054,Arkadia Mall,30.06924,31.226992,9,3,rud el farag,"{'street1': '4 A Nile Corniche, Maspero', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","4 A Nile Corniche, Maspero, Cairo 11511 Egypt"
472333,Townhouse Gallery,0,0,10,5,qasr el nile,"{'street1': ""Hussein El Me'mar Pasha Street"", 'street2': '', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Hussein El Me'mar Pasha Street, Cairo 11511 Egypt"
3825050,Old Egypt For Fine Art,30.05326,31.262377,4,4.5,al jamalya,"{'street1': 'El Moez Ledin Allah El Fatemy st.', 'street2': 'Azhar', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","El Moez Ledin Allah El Fatemy st. Azhar, Cairo 11511 Egypt"
3806172,Zamalek Art Gallery,30.06132,31.22304,2,4,Zamalek,"{'street1': '11 Brazil St.', 'street2': 'Zamalek', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","11 Brazil St. Zamalek, Cairo 11511 Egypt"
13000833,Picasso East art gallery,30.01736,31.447748,1,5,al-qahirah al jadidah,"{'street1': None, 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': None}",Cairo Egypt
1554916,Market Mix  Egyptian Handcrafts,30.063223,31.218037,2,4.5,Zamalek,"{'street1': '19 Mansour Mohamed Street', 'street2': 'First Floor - Office', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","19 Mansour Mohamed Street First Floor - Office, Cairo 11511 Egypt"
3844101,Galleria Le Petit Louvre - Antique,30.0593,31.22288,1,5,Zamalek,"{'street1': '18 Mahmoud Azmy St.', 'street2': 'Zamalek', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","18 Mahmoud Azmy St. Zamalek, Cairo 11511 Egypt"
3720947,Paris Gallery,30.06163,31.22245,1,4,Zamalek,"{'street1': '30 Hassan Assem St. Zamalek', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","30 Hassan Assem St. Zamalek, Cairo 11511 Egypt"
3810378,Gallery Noun,0,0,1,5,Heliopolis,"{'street1': '4 Mahmoud Abou El Oyoun St. Off El Hegaz St.', 'street2': 'Heliopolis', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","4 Mahmoud Abou El Oyoun St. Off El Hegaz St. Heliopolis, Cairo 11511 Egypt"
7001974,Arabisque Mall,30.02593,31.46482,1,5,al-qahirah al jadidah,"{'street1': None, 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': None}",Cairo Egypt
